Normalized time; 3.000001e-06 ; seconds ; accuracy ; 1.000000e-06 ;
PingPong; Nº Process; 2 ;

Bytes; Repeticiones; Latency;
 0 ; 1000 ;  3.480000e-04 ; 
 1 ; 1000 ;  4.030000e-04 ; 
 2 ; 1000 ;  4.010000e-04 ; 
 4 ; 1000 ;  4.030000e-04 ; 
 8 ; 1000 ;  4.180000e-04 ; 
 16 ; 1000 ;  4.650000e-04 ; 
 32 ; 1000 ;  3.990000e-04 ; 
 64 ; 1000 ;  4.250000e-04 ; 
 128 ; 1000 ;  4.800000e-04 ; 
 256 ; 1000 ;  5.640000e-04 ; 
 512 ; 1000 ;  7.180000e-04 ; 
 1024 ; 1000 ;  9.450000e-04 ; 
 2048 ; 1000 ;  1.261000e-03 ; 
 4096 ; 1000 ;  2.172000e-03 ; 
 8192 ; 1000 ;  3.453000e-03 ; 
 16384 ; 1000 ;  6.224000e-03 ; 
 32768 ; 1000 ;  1.024900e-02 ; 
 65536 ; 640 ;  9.419000e-03 ; 
 131072 ; 320 ;  8.117000e-03 ; 
 262144 ; 160 ;  7.685000e-03 ; 
 524288 ; 80 ;  7.597000e-03 ; 
 1048576 ; 40 ;  8.124000e-03 ; 
 2097152 ; 20 ;  1.131900e-02 ; 
 4194304 ; 10 ;  1.435000e-02 ; 
